SMILES,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT,logS
CN(C)c1ccc(C=O)cc1,149.193,1.5651,46.1565,11,2,0,2,2,58,1,0,0,1,20.31,66.4475852329339,2.90982279990154,238.24457522404,-2.2827688499
CC(=O)OC(C)(C)Cc1ccccc1,192.258,2.5708,55.991,14,2,0,2,3,76,1,0,0,1,26.3,84.8961231354273,2.63387002342737,301.357584852598,-2.3946499685
Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,733.002,12.05424,225.484799999999,54,6,6,6,0,288,6,0,0,6,121.38,322.890737803399,3.23999999067111e-07,1804.41854746881,-1.9803097957
CC(C)(C)c1ccc(OCC2CO2)cc1,206.285,2.7617,60.377,15,2,0,2,3,82,1,1,1,2,21.76,91.2072572257578,1.96158800213435,317.38434399783,-3.4302388798
COCCCCC(=O)c1ccc(cc1)C(F)(F)F,260.255,3.7048,61.5015,18,2,0,5,6,100,1,0,0,1,26.3,103.757671458603,2.54267043080931,382.21798444197,-3.5440597008
CC(C)=CCC\C(C)=C/CO,154.253,2.6714,49.5078,11,1,1,1,4,64,0,0,0,0,20.23,69.4387577452265,3.54438743137085,150.255712366993,-2.3206011661
CC(Oc1ccc(Cl)cc1C)C(O)=O,214.648,2.50032,53.9148,14,2,1,4,3,76,1,0,0,1,46.53,87.2637388857117,2.81766488462379,349.220389359469,-2.4660307863
[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,660.282,9.3243,163.396,35,8,0,11,20,208,0,0,0,0,36.92,251.870078036285,-5.68888867392593e-07,523.642205644997,-2.9581950472
FC(F)(F)c1cccc(Cl)c1,180.556,3.3588,36.454,11,0,0,4,0,60,1,0,0,1,0,66.596217669554,3.05990169221798,254.107753276127,-3.4115138849
CCC(C)(CCC(C)C)C(=O)OCC1CO1,228.332,2.7809,63.169,16,3,0,3,7,94,0,1,1,1,38.83,98.5013378061172,2.37495957573775,233.332205650739,-3.5134687407
CC(C)CCCCCOC(=O)CCS,218.362,3.0659,62.735,14,3,1,3,8,84,0,0,0,0,26.3,92.818806164748,3.09207646417706,146.222957706308,-4.4543816995
CC(C)=C1CCC(=CC1)C,136.238,3.453,45.982,10,0,0,0,0,56,0,0,1,1,0,63.6386928395013,2.66873043231154,178.214991220041,-4.2873429345
[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O,202.138,-9.132,18.635,10,6,0,10,0,48,0,0,0,0,126.38,92.7462049304502,-2.99999998333333e-08,73.7486059618544,-3.4731390517
[Zn++].CC(=C)C([O-])=O,150.472,-0.6901,19.821,7,2,0,3,1,34,0,0,0,0,40.13,54.9835582336397,0,75.690584471711,-2.3632080977
CCNCC(O)c1cccc(O)c1,181.235,1.0351,51.6103,13,3,3,3,4,72,1,0,0,1,52.49,78.0295012650835,2.59715082149068,262.856587818971,-3.4541026398
[Zn++].CCC(C)O[P]([S-])(=S)OC(C)CC(C)C.CCC(C)O[P]([S-])(=S)OC(C)CC(C)C,604.174,8.04570000000001,144.98,31,8,0,11,14,184,0,0,0,0,36.92,226.410309578699,-4.89999984671094e-07,495.309223681491,-2.9908768679
ClCc1ccc(Cl)cc1Cl,195.476,3.7322,46.019,10,0,0,3,1,54,1,0,0,1,0,74.7061439145386,3.06998271499884,232.292870489658,-3.5129421932
CC1(C)C2CCC(=C)C1C2,136.238,2.9987,43.752,10,0,0,0,0,56,0,3,3,3,0,63.3224647181563,2.23108081287957,174.477331756708,-4.2923134549
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,386.621,4.6355,116.0977,27,4,4,5,19,162,0,0,0,0,95.58,167.35900603656,0,305.933015182741,-4.8091341894
CCCCCCCCCCCCOC(=O)C(C)O,258.402,3.8313,74.4838000000001,18,3,1,3,12,108,0,0,0,0,46.53,111.917741711129,3.05311977836727,190.177735346378,-4.6341446203
NO,33.03,-0.6657,5.9739,2,2,2,2,0,14,0,0,0,0,46.25,12.4624718621197,1,2,-0.763033718
C=CC(=O)OCCOc1ccccc1,192.214,1.7946,53.093,14,3,0,3,5,74,1,0,0,1,35.53,82.9551232183533,2.16214325885594,292.660770563408,-2.5636257131
CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O,499.717,6.85320000000001,143.3074,35,4,1,6,12,192,3,0,0,3,77.43,211.312915417017,2.55999990627e-07,1108.11231387037,-2.6418192727
OC(=O)CCCCCCCCC=C,184.279,3.3778,54.7688,13,1,1,2,9,76,0,0,0,0,37.3,80.6548249918512,2.90928673265926,141.025705133335,-3.5528261452
C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,570.368,2.2511,88.6629,35,4,1,20,14,210,0,0,0,0,86.3,189.236599952485,5.46476289337869,857.40567769108,-4.0571851475
CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3,366.505,3.659,110.6595,27,4,0,4,7,144,2,1,1,3,32.78,162.291764100352,1.84754069110244,736.73348197183,-4.7932278922
CC(C)CCCCCCc1ccc(O)cc1,220.356,4.54120000000001,69.7338,16,1,1,1,7,90,1,0,0,1,20.23,99.5101159012625,2.04858256354538,273.991354993815,-4.5872500246
CC(=C)c1cccc(c1)C(C)=C,158.244,3.7528,55.858,12,0,0,0,2,62,1,0,0,1,0,74.2418497415081,3.1218057752483,289.31512465051,-4.4511392252
[Mo],95.94,-0.0025,0,1,0,0,1,0,6,0,0,0,0,0,21.756565851685,0,0,-4.2038484637
CC(C)(C)CCCCCC(=O)OC=C,198.306,3.6697,58.829,14,2,0,2,6,82,0,0,0,0,26.3,87.3390785835586,3.29721511074994,177.250975652534,-4.5813325109
Cc1ccc(cc1)C(C)(C)C,148.249,3.29252,49.879,11,0,0,0,0,60,1,0,0,1,0,69.25611369148,2.99375478825993,223.210377427683,-4.4720217682
OC(=O)C1CCCCC1,128.171,1.6513,34.2108,9,1,1,2,1,52,0,1,1,1,37.3,54.8788284129198,2.3121915335682,103.48377837619,-1.445031941
[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)OCC[S](=O)(=O)c1cccc(Nc2nc(Cl)nc(Nc3cc(cc4C=C(\C(=N/Nc5ccc6c(cccc6[S]([O-])(=O)=O)c5[S]([O-])(=O)=O)C(=O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2)c1,1136.328,-14.3013,212.8884,69,26,3,38,15,340,5,0,1,6,433.56,507.575471747889,4.76099525228747e-06,3615.4533974184,-0.4108977358
C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2,344.502,6.11520000000001,116.138,26,2,0,2,11,134,2,0,0,2,24.72,157.279241605672,1.4423245647334,634.005206577911,-3.8937390711
CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,658.891,9.584,198.061599999999,49,8,2,8,8,256,6,0,0,6,101.88,289.349168262918,1.55269117989469,1937.71688812817,-7.9737155354
[Cl-].CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,426.348,2.2001,109.5108,28,5,0,9,8,152,2,0,0,2,71.1,176.328843999759,3.91999488534029e-06,820.063964888983,-3.038699623
C1CN(CCO1)Sc2sc3ccccc3n2,252.364,2.6356,67.869,16,5,0,5,2,84,2,1,1,3,25.36,102.558882642351,1.77789711737823,446.544227692605,-3.8109627954
CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,152.237,2.2099,43.273,11,1,0,1,0,62,0,4,4,4,12.53,68.1197818263182,1.98031525595144,216.157779388589,-2.5936884915
[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(c3)[S](=O)(=O)CCO[S]([O-])(=O)=O)n2)ccc1N=Nc4cc5c(cc(cc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc4[S]([O-])(=O)=O,1026.263,-9.94980000000002,197.2081,63,23,4,35,15,314,5,0,0,5,414.74,451.055253993066,4.96124418943835e-06,3157.93203048309,-0.4261364852
[Na+].[Na+].CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(cc4)N=Nc5ccc(cc5)[S]([O-])(=O)=O)c(cc3c2)[S]([O-])(=O)=O)n1,868.35,4.1072,211.2286,58,16,3,21,20,296,5,0,0,5,246.8,386.4974508858,4.4999883080328e-06,2411.46897316101,-3.358911212
C1CC(CCC1COCC2CO2)COCC3CO3,256.342,1.6236,66.5660000000001,18,4,0,4,8,104,0,3,3,3,43.52,108.920185972425,1.20672168691319,216.178546460492,-1.8357972344
CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,298.427,1.94622,85.7037,21,5,3,5,4,122,1,0,0,1,88.48,126.925135799857,8.85294006727271e-07,473.390924780103,-3.9054642035
[OH-].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,502.307,-10.5546,53.5253,21,13,0,21,0,104,0,0,0,0,288.75,268.242500418216,-1.2857142818471e-08,213.838994761325,-4.1419008964
O=[P+]1Oc2ccccc2c3ccccc13,215.168,4.3284,61.3265,15,2,0,3,0,72,3,0,0,3,30.21,86.9779698682122,2.70224634524581,700.376006928187,-1.7796231349
C=COC(=O)c1ccccc1,148.161,1.9869,42.0545,11,2,0,2,2,56,1,0,0,1,26.3,65.1116937600532,2.76660516917832,251.525060073074,-2.6229591952
COC(=O)c1ccc(cc1)C(C)(C)C,192.258,2.7707,56.4815,14,2,0,2,1,76,1,0,0,1,26.3,84.8961231354272,2.94998404151947,317.170120299689,-3.7398163758
Cc1cccc(CC(C)(C)CO)c1,178.275,2.55602,55.7498,13,1,1,1,3,72,1,0,0,1,20.23,80.4152895580726,2.74315150207117,276.207895093582,-2.8265354685
CC(=O)OC\C=C(C)/CCC=C(C)C,196.29,3.2422,59.055,14,2,0,2,5,80,0,0,0,0,26.3,86.6494755513744,3.67044852713301,232.706284243489,-3.7549532157
CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,166.264,2.3612,49.7808,12,1,1,1,2,68,0,1,3,3,20.23,74.4816405847489,2.12734382952443,215.044002238259,-2.6959998037
CC1CC(=O)CC(C)(C)C1,140.226,2.4017,41.803,10,1,0,1,0,58,0,1,1,1,17.07,62.8144788895169,2.59465616162428,146.807255987816,-1.6471414632
C=CC(=O)OCCOc1ccccc1c2ccccc2,268.312,3.4616,78.529,20,3,0,3,6,102,2,0,0,2,35.53,118.012217424417,2.01827716040068,575.798804840573,-3.9515188418
SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,488.671,1.4252,120.149,29,12,4,12,16,168,0,0,0,0,105.2,192.298860829985,5.35411766528089,436.052505510362,-5.1231687481
Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2,284.399,4.65738,87.2896,21,2,2,2,2,112,2,0,0,2,40.46,126.631559630729,2.61490702938124,591.197920970157,-4.9528688028
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,891.500999999999,18.7691,270.435999999999,63,6,0,6,53,374,0,0,0,0,78.9,393.001211422691,4.29616981821616,885.583227481862,-5.4730005799
[Ca++].[O-][Si]([O-])=O,116.161,-3.2584,12.1945,5,3,0,5,0,24,0,0,0,0,63.19,60.5296530330518,0,29.8743029809272,-2.6500869941
CCc1ccc(C)nc1,121.183,1.95242,38.352,9,1,0,1,1,48,1,0,0,1,12.89,55.7458774436333,2.88155587764614,176.264052991601,-1.0042604536
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,228.332,2.3712,62.9038,16,3,1,3,3,94,0,1,1,1,46.53,98.1820263288063,2.60734578880933,235.332205650739,-2.9799872046
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,360.45,1.5576,95.0484,26,5,3,5,2,142,0,3,4,4,94.83,153.341308093952,1.74728144798718,723.91308150155,-3.1784471289
[Na+].[Na+].Cc1ccc(Nc2ccc(Nc3ccc(C)cc3[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)c(c1)[S]([O-])(=O)=O,622.588,-1.61775999999999,144.5988,42,10,2,14,6,204,4,0,1,5,172.6,286.563462874555,2.41999765727735e-06,1836.59533364738,-1.4270312571
[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Mo].[Mo],389.835,-1.8358,17.6865,13,0,0,13,0,84,0,0,0,0,256.5,125.218460783169,0,15.5763913228534,-4.2291529922
CC(=C)C(=O)OCCOc1ccccc1,206.241,2.1847,57.71,15,3,0,3,5,80,1,0,0,1,35.53,89.3200653327499,2.17724986615814,329.980285329337,-2.9526471698
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,338.444,3.7177,92.7620000000001,24,5,0,5,13,136,1,0,1,2,46.15,144.737545600658,1.63217421020881,475.070105918024,-4.1510889183
CF,34.033,0.5857,7.032,2,0,0,1,0,14,0,0,0,0,0,12.9047864307558,1,2,-0.1758743765
C(COc1ccccc1)Oc2ccccc2,214.264,3.1444,63.874,16,2,0,2,5,82,2,0,0,2,18.46,95.445472013368,1.69821747096051,356.095222596474,-3.9885265275
CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,379.375,5.99820000000001,112.0468,25,2,2,4,6,136,2,0,0,2,52.04,161.059290202919,2.60526632304541,716.94112147385,-7.2780387128
[Na+].Cc1cc(C)c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c(C)c1CNC(=O)c5ccccc5,591.621,1.55116,153.6725,42,8,3,11,6,208,4,0,1,5,158.49,265.117666382049,4.04999122959489e-06,1889.0811835865,-1.4396051213
CCCC(CCC)C(O)=O,144.214,2.2874,40.9418,10,1,1,2,5,60,0,0,0,0,37.3,62.2496016808456,3.60957805268295,93.430713620542,-1.8579774272
[Zn++].[S-]c1sc2ccccc2n1.[S-]c3sc4ccccc4n3,397.89,4.4017,90.502,21,6,0,7,0,100,4,0,0,4,25.78,153.771141414645,1.46666664755556e-07,718.06729083313,-4.285895804
Oc1ccccc1.ClCC2CO2.C=O,216.664,1.8313,55.6878,14,3,1,4,1,78,1,1,1,2,49.83,88.269570039241,2.13055553511951e-07,224.068536959448,-4.0347567611
CCCCCC/C=C/C1CC(=O)OC1=O,210.273,2.6027,57.105,15,3,0,3,6,84,0,1,1,1,43.37,90.4947695300732,2.14861490627343,255.592846540138,-4.0217535152
CC(=C)C(O)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3,406.906,4.6948,111.2514,28,4,3,6,4,152,2,1,1,3,90.29,170.415181403892,2.91343863714091e-07,703.019051034176,-5.229282852
CC1=CC[C@H]2C[C@@H]1C2(C)C,136.238,2.9987,43.752,10,0,0,0,0,56,0,1,3,3,0,63.3224647181563,2.29662657972034,186.214991220041,-4.7725704235
C[Si](C)(C)O[Si](C)(C)C,162.381,2.6728,47.777,9,1,0,3,2,56,0,0,0,0,9.23,60.6861383778902,3.74641793125103,76.2114326716684,-4.909505216
FC(=C)C(F)(F)F,114.041,2.0319,16.303,7,0,0,4,0,42,0,0,0,0,0,37.4416738361434,3.79111841708697,79.4259219652206,-2.7599573667
O=C1Oc2ccccc2C=C1,146.145,1.793,42.484,11,2,0,2,0,54,2,0,0,2,30.21,63.079406575285,2.93535079797202,428.510820876106,-1.8860303607
CC(=C)C1CCC(=CC1)C,136.238,3.3089,45.912,10,0,0,0,1,56,0,0,1,1,0,63.6386928395013,2.49541222686289,162.877123795494,-3.8464965295
[Na+].CCN(CC)c1ccc([C+](c2ccc(cc2)N(CC)Cc3cccc(c3)[S]([O-])(=O)=O)c4ccc(cc4)N(CC)Cc5cccc(c5)[S]([O-])(=O)=O)c(C)c1,775.969,4.72561000000001,210.431399999999,54,9,0,12,16,278,5,0,0,5,124.12,342.989257969916,6.49797519920891e-06,2098.80264524193,-0.6229779303
S=[W]=S,247.974,1.2939,15.182,3,2,0,3,0,18,0,0,0,0,0,34.6522312788732,3.2659863237109,23.7744375108173,-4.1391336425
[Na+].[Na+].CC1=NN(C(=O)C1N=Nc2ccc(c3ccc(cc3[S]([O-])(=O)=O)N=NC4C(=NN(C4=O)c5ccccc5)C)c(c2)[S]([O-])(=O)=O)c6ccccc6,758.706,-1.08019999999999,178.4864,52,14,0,20,9,254,4,0,2,6,229.18,342.061815852971,3.02499470708474e-06,2210.60038642799,-1.642781181
CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,196.29,2.7643,54.7830000000001,14,2,0,2,1,80,0,2,2,2,26.3,86.0170193086844,2.22554026726056,269.495294535378,-3.0887781924
[Pb++].[O-][Si]([O-])=O,283.283,-3.2584,12.1945,5,3,0,5,0,26,0,0,0,0,63.19,50.6964366113892,0,29.8743029809272,-6.6197116003
CCCC(=O)OC(C)(C)Cc1ccccc1,220.312,3.351,65.2250000000001,16,2,0,2,5,88,1,0,0,1,26.3,97.6260073642205,2.54492039187586,327.84839499722,-4.1359426126
[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C\2C=CC(=O)C(=N/Nc3ccc(c4ccccc34)[S]([O-])(=O)=O)\C2=O)c5ccccc15,622.548,-4.73919999999999,143.5478,42,12,2,16,6,202,5,0,0,5,197.32,282.146677440094,2.41999742022783e-06,2288.2512584705,-2.6038411441
CCCOCC(C)OCC(C)O,176.256,1.1989,48.2048,12,3,1,3,7,74,0,0,0,0,38.69,74.6801121542122,3.15317758624782,93.7744375108174,-0.0700526508
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,222.288,2.243,60.637,16,4,0,4,3,88,0,1,1,1,58.86,95.8614723044708,2.85445578095816,352.030261177494,-4.1708247593
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCN,385.637,4.6019,118.0663,27,4,4,5,19,162,0,0,0,0,101.37,167.904662981377,0,305.933015182741,-4.4100874366
CCN(CC[n+]1ccccc1)c2ccc(cc2)N=Nc3ccc(cc3Cl)[N+]([O-])=O.CC([O-])=O,469.929,4.2338,123.9294,33,7,0,10,8,172,3,0,0,3,115.11,196.289304155389,8.9005713959755e-07,1087.76570790618,-1.5218900849
O=C(Oc1ccccc1)Oc2ccccc2,214.22,3.2644,59.536,16,3,0,3,2,80,2,0,0,2,35.53,93.2420519990152,1.95219414779439,407.618627123569,-4.2169166627
CCCCC(CC)C(=O)OC=C,170.252,2.8895,49.595,12,2,0,2,6,70,0,0,0,0,26.3,74.6091943547654,3.78019242431865,140.774005662292,-4.1519109764
CC(=C)C(=O)NCNC(=O)C(C)=C,182.223,0.3285,50.7804,13,2,2,4,4,72,0,0,0,0,58.2,77.7023504459375,3.68937296187563,230.340316439681,-1.1892367555
C\1C\C=C/CC\C=C1,108.184,2.6728,36.748,8,0,0,0,0,44,0,0,1,1,0,50.9088086107081,2.28571428571429,72.6059378176129,-2.9659771733
CO[Si](CCCN=C=O)(OC)OC,205.286,0.5904,49.1935,13,5,0,6,7,76,0,0,0,0,57.12,79.0773568207356,3.87342864167741,169.066693170435,-3.2569810012
CCO[Si](CCCCl)(OCC)OCC,240.803,2.6637,60.776,14,3,0,5,9,86,0,0,0,0,27.69,93.0536626905066,4.21067044340635,118.205924253264,-3.3285834497
CCCCOC(=O)c1ccccc1C(=O)OCCCC,278.348,3.6004,76.8230000000001,20,4,0,4,8,110,1,0,0,1,52.6,119.630958922564,2.71239133750142,398.85794216891,-4.3876832538
[Na+].[Na+].Cc1cc(C)c(c(C)c1Nc2ccc(Nc3c(C)cc(C)c(c3C)[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)[S]([O-])(=O)=O,678.696,-0.384079999999994,163.5468,46,10,2,14,6,228,4,0,1,5,172.6,312.023231332141,2.87999675090378e-06,2027.66360299465,-1.7922611704
Oc1ccc(c(O)c1O)C(=O)c2ccccc2,230.219,2.0344,61.3109,17,4,3,4,2,86,2,0,0,2,77.76,97.3976627965894,2.49215413565703,561.13218751736,-3.3451078238
CCCCCCCCC\C=C\CC1CC(=O)OC1=O,266.381,4.1631,75.5730000000001,19,3,0,3,10,108,0,1,1,1,43.37,115.95453798766,1.93248346358513,307.115906497251,-4.4255032449
CC(C)CC(C)CC(C)\C=C(/C)C1CC(=O)OC1=O,266.381,3.7308,75.363,19,3,0,3,6,108,0,1,1,1,43.37,115.95453798766,2.53340570524479,368.190335357111,-4.4255032449
CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(O)O.CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(O)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC.CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC,2216.691,29.6400000000001,638.137200000003,156,27,9,30,120,912,0,0,0,0,395.25,952.493359898093,-2.50739754214721e-06,2927.06011800348,-5.345705158
CCCCCCCCCC(=O)Oc1ccc(cc1)C(O)=O,292.375,4.4309,81.6463000000001,21,3,1,4,10,116,1,0,0,1,63.6,125.67658955965,2.16862268900397,436.608259449422,-5.4245475497
CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,474.834,5.24480000000001,125.028,28,8,0,10,21,170,0,0,0,0,55.38,182.772666150897,4.13794054051478,289.998412770017,-5.6765418086
COc1ccc(\C=C\C(=O)OCCC(C)C)cc1,248.322,3.2977,72.442,18,3,0,3,6,98,1,0,0,1,35.53,108.41489167594,2.39834076168049,390.704670384356,-5.4919252104
CCCCCCCCCCCCCCCC(=O)NCC(O)=O,313.482,4.6685,90.9575000000001,22,2,2,4,16,130,0,0,0,0,66.4,135.610407108464,3.10759351365622,279.505833717121,-5.5931226219
C\1C\C=C/CC\C=C/CC/C=C1,162.276,4.0092,55.122,12,0,0,0,0,66,0,0,1,1,0,75.6789740361102,2.30411059848846,121.193119241564,-5.3651562541
CC(CCN(CCC(C)CC(C)(C)C)C(=S)S[Zn]SC(=S)N(CCC(C)CC(C)(C)C)CCC(C)CC(C)(C)C)CC(C)(C)C,754.698,13.3887,214.935999999999,45,4,0,7,18,264,0,0,0,0,6.48,308.141727858078,5.34545540362118,714.649418842059,-6.1025269393
BrCc1ccc(cc1)c2ccccc2C#N,272.145,4.12018,69.224,16,1,0,2,2,78,2,0,0,2,23.79,103.478508841464,2.46874721208225,523.176759543956,-6.6566491092
CCCCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1.CCCCCCCCCCCCCCCC(=O)OC2CC(C)(C)NC(C)(C)C2,819.397999999999,15.4204,250.673399999999,58,6,2,6,32,344,0,2,2,2,76.66,361.995326734845,5.81380906391017e-07,988.84852755604,-6.2145248952
CCCCC(CC)CNC(=O)CCCCCC(C)C,269.473,4.9255,84.2387000000001,19,1,1,2,12,114,0,0,0,0,29.1,120.289709141827,3.51254410984443,213.307604432795,-5.731545253
CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)OC2[C@H](C)O[C@H](C[C@@H]2OC)OC3[C@@H](C)/C=C/C=C/4CO[C@@H]5[C@H](O)C(=C[C@@H](C(=O)O[C@H]6C[C@@H](C\C=C3/C)O[C@@]7(C6)O[C@@H]([C@@H](C)C=C7)C8CCCCC8)[C@]45O)C,899.128,5.91160000000001,234.425399999999,64,14,3,14,7,358,0,5,8,8,170.06,378.806425895809,1.08100891050381,1787.63013204259,-7.5558815137
c1ccc(cc1)c2ccc(cc2)c3ccccc3,230.31,5.0206,77.314,18,0,0,0,2,86,3,0,0,3,0,107.545591531625,1.95146616866956,548.716065547508,-6.183335848
c1cc2ccc3cccc4ccc(c1)c2c34,202.256,4.584,70.146,16,0,0,0,0,74,4,0,0,4,0,93.4554215948382,2.50595568936067,666.619805816879,-6.1787966156
CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC,278.348,3.6004,76.8230000000001,20,4,0,4,8,110,1,0,0,1,52.6,119.630958922564,2.50371239110413,381.60794216891,-6.40319542
CCC(CC)CC1(CCCCC1)C#N,193.334,4.28678,59.8200000000001,14,1,0,1,4,80,0,1,1,1,23.79,88.5053049285283,2.55666338968981,191.771327547268,-6.5873382321
COc1ccc(cc1)N2CCN(CC2)c3ccc(cc3)[N+]([O-])=O,313.357,2.93,90.5164,23,5,0,6,4,120,2,1,1,3,58.85,134.593565036428,1.61770349572932,662.487877093113,-6.9290130346
